Participant ID,Condition,Q1,Q2,,Q3,Q4
P6,1,"1. Modality: The sound
2. Takeover trigger: main indicator for me to take over",Stop Sign,abnormality,1. None : none,1. Multimodel cues : a vibrating seat or sheering wheel would be great
,P,,Road Surface,abnormality,,
,P,,Vehicle,abnormality,,
,P,,Pedestrian,did not recognize anything,,
P7,0,"1. Effectiveness:took me away from whatever I was doing
2. Attitude: Good at alterting me when needed
3. Attention: made me pay attention to what was going on on the road",Stop Sign,recognize attack,1. Explanations : The yellow warning that popped up were good at describing the situation when it was occuring,1. Multimodel cues : Maybe a vibration mechanism
,C,,Road Surface,abnormality,,
,C,,Vehicle,abnormality,,
,C,,Pedestrian,did not recognize anything,,
P8,1,1. Takeover Trigger: Knew to break immeditately,Stop Sign,N/A,1. None : none,1. Increase awareness: broadcast through media sites
,P,,Road Surface,N/A,,
,P,,Vehicle,N/A,,
,P,,Pedestrian,N/A,,
P9,1,"1. Color: Red font
2. Attention: Made me focus on driving tasks
3. Effectiveness: instantly I would react to this sign",Stop Sign,abnormality,1. Both warning and explanations: The instructions before and during the simulation were easy to understand,"1. Other suggestions : defining a set of rules to follow instead of warning of "" what not to follow"""
,P,,Road Surface,abnormality,,
,P,,Vehicle,abnormality,,
,P,,Pedestrian,did not recognize anything,,
P10,0,"1. Effectiveness: made me take over fairly quickly as it was startling
2. Takeover trigger: take over fairly quickly",Stop Sign,abnormality,1. Explanations : Describe what problems the sensors had & I was quickly able to identify the problem,"1. Education and training : Outreach about that problem could be helpful
2. Increase awareness : General outreach"
,C,,Road Surface,abnormality,,
,C,,Vehicle,abnormality,,
,C,,Pedestrian,abnormality,,
P11,1,1. Comprehension: System has trouble to stop,Stop Sign,abnormality,1. None : none,1. None : none
P11,P,,Road Surface,abnormality,,
P11,P,,Vehicle,abnormality,,
P11,P,,Pedestrian,did not recognize anything,,
P12,0,"1. Attitude: The warning is absolutely necessary
2. Attention: Very crucial when my attention is away from the road conditions",Stop Sign,abnormality,1. None : none,1. Education and training : beyong my knowledge/experience
P12,C,,Road Surface,abnormality,,
P12,C,,Vehicle,abnormality,,
P12,C,,Pedestrian,did not recognize anything,,
P13,1,"1. Effectiveness: give me a sign to take actions
2. Takeover trigger: give me a sign to take actions",Stop Sign,did not recognize anything,1. None : none,1. None : no
P13,P,,Road Surface,abnormality,,
P13,P,,Vehicle,recognize attack,,
P13,P,,Pedestrian,did not recognize anything,,
P14,0,"1. Color: The red letters
2. Modality: sound ket me know
3. Takeover trigger: it was important to takeover",Stop Sign,did not recognize anything,1. Practice session : The practice helped me understand and prepare,"1. Increase awareness: try to stay as aware as possible when driving
2. Driving behavior/human attention: Avoid as many distractions as possible"
,C,,Road Surface,abnormality,,
,C,,Vehicle,did not recognize anything,,
,C,,Pedestrian,did not recognize anything,,
P15,0,1. Attitude: it was good,Stop Sign,did not recognize anything,1. None : Nothing,1. None: None
P15,C,,Road Surface,recognize attack,,
P15,C,,Vehicle,abnormality,,
P15,C,,Pedestrian,abnormality,,
P16,1,"1. Effctiveness: Pay more attention on it
2. Attention: Pay more attention on it",Stop Sign,abnormality,1. Beep sound : alarm sound,1. None: 
P16,P,,Road Surface,did not recognize anything,,
P16,P,,Vehicle,abnormality,,
P16,P,,Pedestrian,abnormality,,
P17,0,1. Attitude:can be quite nervous when the warning emerged,Stop Sign,did not recognize anything,1. Require more attention than manual driving : more attention requiring than completely driving by myself,1. Warning improvement: warning can be given with more time in advance with approximate of the distance to the abnormality would help the driver to get ready
P17,C,,Road Surface,abnormality,,
P17,C,,Vehicle,did not recognize anything,,
P17,C,,Pedestrian,did not recognize anything,,
P18,1,"1. Attitude: it is clear
2. Effectiveness: easy to understand
3. Comprehension: easy to understand",Stop Sign,did not recognize anything,1. Text: the caution message,1. None : no
P18,P,,Road Surface,abnormality,,
P18,P,,Vehicle,abnormality,,
P18,P,,Pedestrian,did not recognize anything,,
P19,1,"1. Sugestion: audio could be something a little more high pitched
2. Modality: Audio
3.Effectiveness: the warning was clear and enough
4. Takeover trigger: act quickly",Stop Sign,abnormality,1. Warning: Warning from the AV system,1. None: 
P19,P,,Road Surface,abnormality,,
P19,P,,Vehicle,abnormality,,
P19,P,,Pedestrian,abnormality,,
P20,0,"1. Effectiveness: made me stop the video on the phone
2. Takeover Trigger: press breaks to take control",Stop Sign,abnormality,1. Warning: Warnings were clear & Like how it knew the issue and asked me to take control,1. Other suggestions: it would probably be wise to take a decision to move to the side most lane if possible.
P20,C,,Road Surface,abnormality,,
P20,C,,Vehicle,did not recognize anything,,
P20,C,,Pedestrian,did not recognize anything,,
P21,1,"1. Modality: audio warning alerted me enough
2. Takeover trigger: takeover the vehicle safely",Stop Sign,abnormality,1. Explanations : helped me to better understand the situation,"1. Increase awareness:  human driver can know what to look out for, to better avoid difficulty with the AV
2. Education and training: more knowledge of what the AV cameras have difficulty evading or detecting"
P21,P,,Road Surface,abnormality,,
P21,P,,Vehicle,abnormality,,
P21,P,,Pedestrian,did not recognize anything,,
P22,0,1. Attitude: had to glance up frequently to not miss the warnings,Stop Sign,did not recognize anything,1. Explanations : yellow warning signs,1. None: no
P22,C,,Road Surface,abnormality,,
P22,C,,Vehicle,abnormality,,
P22,C,,Pedestrian,abnormality,,
P23,1,1. Attitude:  warning came on after I would have normally started slowing down without AV assistance,Stop Sign,N/A,1. Warning : warnings helped me become aware of the hazard,1. Warning improvement : Make sure warning systems are detailed when warning drivers about the hazard
P23,P,,Road Surface,N/A,,
P23,P,,Vehicle,N/A,,
P23,P,,Pedestrian,N/A,,
P24,0,"1. Effectiveness: give me a hint
2. Takeover trigger: to takeover",Stop Sign,abnormality,"1. Text: signs (signals, text) on the screen","1. Multimodel cues: sound, signs, vibration of the steering wheel"
P24,C,,Road Surface,abnormality,,
P24,C,,Vehicle,abnormality,,
P24,C,,Pedestrian,did not recognize anything,,
P25,0,"1. Attention: drag my attention
2. Takeover trigger: quickly take actionn with the car
3. Attitude: auto driving is just fine without me, making good decisions.
4. Effectiveness: in general it drag my attention and I quickly take action with the car. in some situation",Stop Sign,abnormality,"1. Beep sound: Warning alarm
2. Warning: with words on display",1. Warning improvement : warning ealier so decision can be make with longer time & personalize signal and warning
P25,C,,Road Surface,abnormality,,
P25,C,,Vehicle,abnormality,,
P25,C,,Pedestrian,abnormality,,
P26,1,"1, Modality: sound actually helped more
2. Attitude: it was quiet fast ",Stop Sign,did not recognize anything,1. None : NA specifically,"1. Other suggestions:  in winter, the snow on road might effect the driver's possiblity of having some accident. Also during rain. (need to consider these situation)"
P26,P,,Road Surface,abnormality,,
P26,P,,Vehicle,did not recognize anything,,
P26,P,,Pedestrian,did not recognize anything,,
P27,0,"1. Effectiveness: indicated to me a situation
2. Takeover trigger: immediate manual input in a relatively concise and efficient manner",Stop Sign,abnormality,1. Warning : aided in providing what the AD found to be confusing or in error,"1. Multimodal cues: Perhaps haptics can assist in further alerting drivers to provide input/greater awareness of these ""attacks""."
P27,C,,Road Surface,abnormality,,
P27,C,,Vehicle,abnormality,,
P27,C,,Pedestrian,abnormality,,
P28,1,"1.Effectiveness: effectively warned me
2. Suggestions: too late and an accident could have occurred",Stop Sign,abnormality,1. Explanations : Popping up of the explanation on the screen,1. None: no suggestions
P28,P,,Road Surface,abnormality,,
P28,P,,Vehicle,abnormality,,
P28,P,,Pedestrian,did not recognize anything,,
P29,1,"1. Effectiveness: mind kind of went into a 'drop everything and resolve' situation.
2. Takeover Trigger:  transition quickly to driving again.",Stop Sign,recognize attack,1. Explanations : helped me understand how the computer was analyzing the situation and making its decision,1. None: no suggestions
P29,P,,Road Surface,abnormality,,
P29,P,,Vehicle,abnormality,,
P29,P,,Pedestrian,recognize attack,,
P30,0,"1. Effectiveness: allowed me to brake.
2. Takeover Trigger: takeover.
3. Comprehension: to better analyze the situation",Stop Sign,did not recognize anything,1. Warning: AV usually gave some warning before this scenario.,"1. Increase awareness: always be aware of the situation while driving
2. Other suggestions: provide multiple test cases of phyiscal world attacks before deploying these systems."
P30,C,,Road Surface,abnormality,,
P30,C,,Vehicle,recognize attack,,
P30,C,,Pedestrian,did not recognize anything,,
P31,0,"1. Effectiveness: It's effective in warning that something might be going on. 
2. Takeover Trigger: react with stepping on break",Stop Sign,abnormality,"1. Beep sound: the sounds it makes along with the warning helped me to pull me back into ""driving mode"" mentally & warnings soundsdefinitely is important
2. Warning: warning was helpful",1. Other suggestions: eye tracking - so the AV system can assess whether the driver is still paying attention
P31,P,,Road Surface,abnormality,,
P31,P,,Vehicle,recognize attack,,
P31,P,,Pedestrian,did not recognize anything,,
P32,1,1. Suggestion: felt slightly rushed to figure out the situation and how to handle it.,Stop Sign,did not recognize anything,"1. Sound : sound that came up
2. explanations: yellow text","1. Warning improvement: Pointing out what is causing the physical attack, like highlighting the object"
P32,C,,Road Surface,abnormality,,
P32,C,,Vehicle,recognize attack,,
P32,C,,Pedestrian,did not recognize anything,,
,,,,,,
